ExifTool Version Number         : 13.00
File Name                       : DJI_20241015160149_0003_D.JPG
Directory                       : G:/pointcloudrendering/CLionProj/Dewarp
File Size                       : 6.7 MB
File Modification Date/Time     : 2024:10:16 10:42:12+08:00
File Access Date/Time           : 2024:11:18 14:00:57+08:00
File Creation Date/Time         : 2024:11:18 13:20:44+08:00
File Permissions                : -rw-rw-rw-
File Type                       : JPEG
File Type Extension             : jpg
MIME Type                       : image/jpeg
Exif Byte Order                 : Little-endian (Intel, II)
Image Description               : default
Make                            : DJI
Camera Model Name               : L2
Orientation                     : Horizontal (normal)
X Resolution                    : 72
Y Resolution                    : 72
Resolution Unit                 : inches
Software                        : 10.00.05.16
Modify Date                     : 2024:10:15 16:01:49
Y Cb Cr Positioning             : Co-sited
Exposure Time                   : 1/250
F Number                        : 2.8
Exposure Program                : Program AE
ISO                             : 100
Sensitivity Type                : Recommended Exposure Index
Exif Version                    : 0230
Date/Time Original              : 2024:10:15 16:01:49
Create Date                     : 2024:10:15 16:01:49
Components Configuration        : Y, Cb, Cr, -
Shutter Speed Value             : 1/250
Aperture Value                  : 2.8
Exposure Compensation           : 0
Max Aperture Value              : 2.8
Subject Distance                : 0 m
Metering Mode                   : Average
Light Source                    : Daylight
Flash                           : No Flash
Focal Length                    : 12.3 mm
Warning                         : [minor] Possibly incorrect maker notes offsets (fix by -444?)
Flashpix Version                : 0100
Color Space                     : sRGB
Exif Image Width                : 5280
Exif Image Height               : 3956
Interoperability Index          : R98 - DCF basic file (sRGB)
Interoperability Version        : 0100
File Source                     : Digital Camera
Scene Type                      : Directly photographed
Custom Rendered                 : Normal
Exposure Mode                   : Auto
White Balance                   : Auto
Digital Zoom Ratio              : 1
Focal Length In 35mm Format     : 24 mm
Scene Capture Type              : Standard
Gain Control                    : None
Contrast                        : Normal
Saturation                      : Normal
Sharpness                       : Normal
Device Setting Description      : (Binary data 4 bytes, use -b option to extract)
Serial Number                   : 6U3DLAM002Z12V
Lens Info                       : 24mm f/2.8-11
Unique Camera Model             : DJI L2
GPS Version ID                  : 2.3.0.0
GPS Latitude Ref                : North
GPS Longitude Ref               : East
GPS Altitude Ref                : Above Sea Level
GPS Status                      : Measurement Active
GPS Map Datum                   : WGS-84
XP Comment                      : 0.9.142
XP Keywords                     : single
Compression                     : JPEG
Thumbnail Offset                : 6772
Thumbnail Length                : 27274
About                           : DJI Meta Data
Format                          : image/jpeg
Gps Status                      : RTK
Altitude Type                   : RtkAlt
Absolute Altitude               : +51.254
Relative Altitude               : +40.092
Gimbal Roll Degree              : +0.00
Gimbal Yaw Degree               : +85.60
Gimbal Pitch Degree             : -70.00
Flight Roll Degree              : +0.80
Flight Yaw Degree               : +85.50
Flight Pitch Degree             : -2.80
Flight X Speed                  : -0.2
Flight Y Speed                  : 0.1
Flight Z Speed                  : -1.4
Cam Reverse                     : 0
Gimbal Reverse                  : 0
Sensor Temperature              : 36.0
Product Name                    : DJI Enterprise L2
Self Data                       : 
Rtk Flag                        : 50
Rtk Std Lon                     : 0.00866
Rtk Std Lat                     : 0.00755
Rtk Std Hgt                     : 0.02115
Rtk Diff Age                    : 1.80000
Surveying Mode                  : 1
Dewarp Flag                     : 0
Dewarp Data                     : 2023-10-26;3714.080425525583,3714.080425525583,-14.128144364555,-15.372386951438,-0.107033684681,-0.008802369525,-0.000274184748,-0.000137093437,-0.003871548153
Calibrated Focal Length         : 3725.151611
Calibrated Optical Center X     : 2640.000000
Calibrated Optical Center Y     : 1978.000000
UTC At Exposure                 : 2024:10:15 08:02:12.691317
Shutter Type                    : Mechanical
Shutter Count                   : 8319
Camera Serial Number            : 493OK994AB0P5M
Drone Model                     : Matrice 350 RTK
Drone Serial Number             : 1581F6GKB241A003021U
LRF Status                      : Normal
LRF Target Distance             : 36.685
LRF Target Lon                  : 119.8503608
LRF Target Lat                  : 32.4805602
LRF Target Alt                  : 5.291
LRF Target Abs Alt              : 16.600
White Balance CCT               : 5092
Sensor FPS                      : 59.94
Version                         : 7.0
Has Settings                    : False
Has Crop                        : False
Already Applied                 : False
MPF Version                     : 0100
Number Of Images                : 2
MP Image Flags                  : Dependent child image
MP Image Format                 : JPEG
MP Image Type                   : Large Thumbnail (VGA equivalent)
MP Image Length                 : 800716
MP Image Start                  : 5853184
Dependent Image 1 Entry Number  : 0
Dependent Image 2 Entry Number  : 0
Image UID List                  : (Binary data 66 bytes, use -b option to extract)
Total Frames                    : 1
AE Debug Info                   : (Binary data 10240 bytes, use -b option to extract)
AE Histogram Info               : (Binary data 1024 bytes, use -b option to extract)
AE Local Histogram              : (Binary data 2048 bytes, use -b option to extract)
AE Live View Histogram Info     : (Binary data 2048 bytes, use -b option to extract)
AE Live View Local Histogram    : (Binary data 10000 bytes, use -b option to extract)
Awb Dbg Data V2                 : (Binary data 5120 bytes, use -b option to extract)
AF Debug Info                   : (Binary data 1024 bytes, use -b option to extract)
Histogram                       : (Binary data 1024 bytes, use -b option to extract)
ADJ Debug Info                  : (Binary data 4096 bytes, use -b option to extract)
Sensor ID                       : 493OK994AB0P5M
Hyperlaps Debug Info            : (Binary data 8 bytes, use -b option to extract)
Scap Info                       : (Binary data 8192 bytes, use -b option to extract)
Sisr Info                       : (Binary data 4096 bytes, use -b option to extract)
JFIF Version                    : 1.02
Image Width                     : 5280
Image Height                    : 3956
Encoding Process                : Baseline DCT, Huffman coding
Bits Per Sample                 : 8
